class,Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280/OD315_of_diluted_wines,Proline,noise1,noise2,noise3,noise4,noise5,noise6,noise7,noise8,noise9,noise10
1,0.8421,0.1917,0.57219,0.25773,0.61957,0.62759,0.57384,0.28302,0.59306,0.37201,0.45529,0.9707,0.56134,0.81472,0.64775,0.17813,0.86114,0.70692,0.55574,0.41063,0.58243,0.73427,0.6944
1,0.57105,0.20553,0.41711,0.030928,0.32609,0.57586,0.51055,0.24528,0.27445,0.2645,0.46342,0.78022,0.55064,0.90579,0.45092,0.12801,0.48485,0.99949,0.18443,0.98435,0.070684,0.43028,0.25678
1,0.56053,0.32016,0.70054,0.41237,0.33696,0.62759,0.61181,0.32076,0.7571,0.37543,0.44715,0.69597,0.64693,0.12699,0.54701,0.99908,0.39346,0.28785,0.21203,0.94558,0.92274,0.69375,0.0097586
1,0.87895,0.23913,0.60963,0.31959,0.46739,0.98965,0.66456,0.20755,0.55836,0.55631,0.30894,0.79853,0.85735,0.91338,0.29632,0.17112,0.67143,0.41452,0.077347,0.67664,0.80037,0.94521,0.53228
1,0.58158,0.36561,0.80749,0.53608,0.52174,0.62759,0.49578,0.49057,0.4448,0.25939,0.45529,0.60806,0.32596,0.63236,0.74469,0.032601,0.74126,0.46484,0.9138,0.9883,0.28595,0.78423,0.27939
1,0.83421,0.20158,0.58289,0.23711,0.45652,0.78966,0.64346,0.39623,0.49211,0.46672,0.46342,0.57876,0.83595,0.09754,0.18896,0.5612,0.52005,0.76396,0.70672,0.76683,0.54366,0.70557,0.94623
1,0.88421,0.22332,0.58289,0.20619,0.28261,0.52414,0.45992,0.32076,0.49527,0.33874,0.43902,0.84615,0.72183,0.2785,0.68678,0.88187,0.34771,0.8182,0.55779,0.3367,0.98478,0.10933,0.90644
1,0.79737,0.27866,0.66845,0.36083,0.55435,0.55862,0.45781,0.33962,0.26498,0.32167,0.47154,0.84615,0.72539,0.54688,0.18351,0.66918,0.15,0.10022,0.31343,0.66238,0.71568,0.38993,0.39268
1,1,0.17787,0.43316,0.17526,0.29348,0.62759,0.55696,0.30189,0.49527,0.33447,0.4878,0.57876,0.54708,0.95751,0.36848,0.19043,0.58609,0.17812,0.1662,0.24417,0.83897,0.5909,0.024855
1,0.74474,0.12055,0.48663,0.27835,0.30435,0.68966,0.59283,0.16981,0.45426,0.50683,0.43089,0.83517,0.54708,0.96489,0.62562,0.36892,0.26215,0.35963,0.6225,0.29551,0.43326,0.45938,0.67144
